Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C108, C109, C115",CL10A,9,1u,
C110,CL10A,1,10u,
C111,CP_Radial_D12.5mm_P5.00mm,1,22u,
C112,CP_Radial_D6.3mm_P2.50mm,1,470u,
C113,CP_Radial_D6.3mm_P2.50mm,1,100u,
C114,CAP_CL31_SAM,1,1n,
CR101,SMB_DIO,1,SMBJ7.0CA-13-F,
D101,SODFL3618X110N,1,1N4007FL,
F101,FUSE_560_1019_LTF,1,56000001019 ,
"H102, H103, H104",MountingHole_3.2mm_M3,3,MountingHole,
J101,CONN-TH_2P-P5.08_WJ142V-5.08-2P,1,Screw_Terminal_01x02,
"J102, J105",JST_B4B-PH-K,2,B4B-PH-K,
J103,TAG-CONNECT_TC2050-IDC-NL,1,TC2050-IDC-NL,
K101,AZ2100-1CE-5DEF,1,AZ2100-1CE-5DEF,
L101,IND_RLB9012-472KL,1,4m7,
L102,IND_HL4R7M_TAY,1,4u7,
PS101,CONV_PBO-5C-5,1,PBO-5C-5,
"Q101, Q102, Q103, Q104",SOT-23,4,DMG2302UK,
"R101, R103, R104, R109",RESC1607X60N,4,10K,
"R102, R119",RESC1607X60N,2,0R,
"R106, R107, R108, R114, R115, R116",RESC1607X60N,6,2k2,
R113,YAG_FMP200_YAG,1,12R,
R118,RESC1607X60N,1,68R,
RV101,VAR_B72214S0351K101,1,B72214S0351K101,
SW101,SS12D10L3,1,SW_SPDT,
SW102,SW_TS-1187A-B-A-B,1,TS-1187A-B-A-B,
TR102,zmct102,1,ZMCT102,
U101,XCVR_ESP32-C3-WROOM-02U-N4,1,ESP32-C3-WROOM,
U102,SOT95P285X140-5N,1,AP2112K-3.3,
U103,ADS1115_SOP50P490X110-10N,1,ADS1115IDGSR,
