Designator,Mid X,Mid Y,Rotation,Layer
C101,74.5,28.665,270.0,top
C102,86.9747,34.0506,180.0,top
C103,47.7,23.2,0.0,top
C104,45.7,27.05,270.0,top
C105,60.9253,63.6,270.0,top
C106,86.5,50.1,180.0,top
C108,71.5,27.265,0.0,top
C109,40.5,60.7747,270.0,top
C110,65.265,64.7097,180.0,top
C111,65.1,-11.4,90.0,top
C112,42.7,2.517621,270.0,top
C113,51.5,9.8,0.0,top
C114,44.9,-3.872199,270.0,top
C115,44.3253,19.0,180.0,top
CR101,44.2428,15.8,180.0,top
D101,37.1,26.8,90.0,top
F101,8.37325,0.0,0.0,top
J101,7.633,-13.032,0.0,top
J102,87.5375,28.0,90.0,top
J103,45.135,59.33,0.0,top
J105,87.75,43.7125,270.0,top
K101,19.1,27.4,90.0,top
L101,33.5,-17.2,0.0,top
L102,44.2013,9.8,0.0,top
PS101,52.2,-8.351,90.0,top
Q101,37.9625,31.375,0.0,top
Q102,73.5,42.5,90.0,top
Q103,77.0,42.5,90.0,top
Q104,70.0,42.5,90.0,top
R101,51.7,63.735,90.0,top
R102,49.925,63.65,90.0,top
R103,87.765,62.535,270.0,top
R104,65.365,55.6,180.0,top
R106,73.4,45.4,180.0,top
R107,76.8,45.4,180.0,top
R108,77.0,39.7,180.0,top
R109,40.8,31.4,90.0,top
R113,24.9,-13.6,270.0,top
R114,69.9,45.4,180.0,top
R115,73.6,39.7,180.0,top
R116,70.1,39.7,180.0,top
R118,76.9,10.735,90.0,top
R119,65.365,28.6,90.0,top
RV101,17.85,-14.65,270.0,top
SW101,34.7,58.6,90.0,top
SW102,56.3625,62.8,180.0,top
TP101,41.9,-20.0,0.0,top
TP102,41.9,-14.2,0.0,top
TR102,84.1,10.8,90.0,top
U101,77.015,58.885,0.0,top
U102,48.3247,26.3388,90.0,top
U103,70.15,29.865,0.0,top
